item_code,item_name,item_group,brand,stock_uom,hsn_code,valuation_rate,standard_rate,description
ONE-SQUAREALLI,SQUARE ALL IN ONE,Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,SQUARE ALL IN ONE
BOTTLE-SQUARE,SQUARE BOTTLE,Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,SQUARE BOTTLE
BOX-SQUAREMASA,SQUARE MASALA BOX,Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,SQUARE MASALA BOX
SET-SQUAREWITH,Square With SS Cap Bottle 01 (3pcs Set),Plastic kitchenware,Raj Enterprises,BOX,3924,0,0,Square With SS Cap Bottle 01 (3pcs Set)
01-SSJALIROUN,SS JALIROUND JUICER (01),Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,SS JALIROUND JUICER (01)
PEELER-SS,SS PEELER,Plastic kitchenware,Raj Enterprises,DZ,7323,0,0,SS PEELER
KNIFE-SSPIPEPOIN,SS Pipe point colour Knife,Plastic kitchenware,Raj Enterprises,DZ,3924,0,0,SS Pipe point colour Knife
CUTTER-SSPIZZA,SS PIZZA CUTTER,Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,SS PIZZA CUTTER
KNIFE-SSPLAIN,SS plain Knife,Plastic kitchenware,Raj Enterprises,DZ,7323,0,0,SS plain Knife
LOOSE-STEELLEMON,Steel Lemon Squeezer 100g Loose,Plastic kitchenware,Raj Enterprises,PCS,7323,0,0,Steel Lemon Squeezer 100g Loose
160G-STEELLEMON,Steel Lemon Squeezer 160g,Plastic kitchenware,Raj Enterprises,PCS,7323,0,0,Steel Lemon Squeezer 160g
180G-STEELLEMON,Steel Lemon Squeezer 180g,Plastic kitchenware,Raj Enterprises,PCS,3911,0,0,Steel Lemon Squeezer 180g
270G-STEELLEMON,Steel lemon squeezer 270G,Plastic kitchenware,Raj Enterprises,PCS,3911,0,0,Steel lemon squeezer 270G
NO3-STEELSTRAI,steel Strainner no.3,Plastic kitchenware,Raj Enterprises,DZ,7323,0,0,steel Strainner no.3
PREXO-STEELOSSLU,Steelo S.S. Lunch Box  (Prexo),Plastic kitchenware,Raj Enterprises,Pack,7323,0,0,Steelo S.S. Lunch Box  (Prexo)
LUNCH-SUMO2LAYER,SUMO 2 LAYER STEEL LUNCH,Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,SUMO 2 LAYER STEEL LUNCH
PEELER-SUMO,Sumo Peeler,Plastic kitchenware,Raj Enterprises,DZ,3924,0,0,Sumo Peeler
KNIFE-SUPER,SUPER KNIFE,Plastic kitchenware,Raj Enterprises,DZ,3924,0,0,SUPER KNIFE
MUG-TBSTONEWAR,TB Stoneware 1116 Mug,Crockery,TIBROS,PCS,6911,0,0,TB Stoneware 1116 Mug
MUG-TBSTONEWAR-002,TB Stoneware 1116 Sparkle Mug,Crockery,TIBROS,PCS,6911,0,0,TB Stoneware 1116 Sparkle Mug
MUG-TBSTONEWAR-003,TB Stoneware 1147 Mug,Crockery,TIBROS,PCS,6911,0,0,TB Stoneware 1147 Mug
SET-TBSTONEWAR,Tb- Stoneware Chuski Mug TT Matt - 6 Pcs Set,Crockery,TIBROS,BOX,6911,0,0,Tb- Stoneware Chuski Mug TT Matt - 6 Pcs Set
TONE-TBSTONEWAR,TB Stoneware Cup & Saucer [Dual Tone],Crockery,TIBROS,PCS,6911,0,0,TB Stoneware Cup & Saucer [Dual Tone]
SET-TBSTONEWAR-002,TB Stoneware Handi (2 Pcs Set),Crockery,TIBROS,BOX,6911,0,0,TB Stoneware Handi (2 Pcs Set)
SET-TBPERFECTB,Tb-Perfect Beverage (3 Pcs Set),Crockery,TIBROS,PCS,6911,0,0,Tb-Perfect Beverage (3 Pcs Set)
PCS-TBPREMIUMG,Tb-Premium Gold Line Mug Set of 6 Pcs,Crockery,TIBROS,BOX,6911,0,0,Tb-Premium Gold Line Mug Set of 6 Pcs
MUG-TBSTONEWAR-004,TB-Stoneware 1110 Matt Mug,Crockery,TIBROS,PCS,6911,0,0,TB-Stoneware 1110 Matt Mug
S6-TBSTONEWAR,Tb-Stoneware Mug -1148 (S/6),Crockery,TIBROS,PCS,6911,0,0,Tb-Stoneware Mug -1148 (S/6)
PCLAVA-TBVINTAGEM,Tb-Vintage Mug (1 PC)-Lava,Crockery,TIBROS,PCS,6911,0,0,Tb-Vintage Mug (1 PC)-Lava
NO2-TEAMESHSTR,TEA MESH STRAINER NO.2,Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,TEA MESH STRAINER NO.2
NET-TEASTRAINE,Tea Strainer No.3 Plastic (double Net),Plastic kitchenware,Raj Enterprises,DZ,3924,0,0,Tea Strainer No.3 Plastic (double Net)
NET-TEASTRAINE-002,Tea Strainer NO.3 White (double Net),Plastic kitchenware,Raj Enterprises,DZ,3924,0,0,Tea Strainer NO.3 White (double Net)
ULTRA-TEASTRAINE,Tea Strainer S.S. ULTRA,Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,Tea Strainer S.S. ULTRA
HOUSE-TEDDY,TEDDY HOUSE,Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,TEDDY HOUSE
PCS-TIBROSASTE,TIBROS Aster Prime Series- Dining Set (33 pcs),Crockery,TIBROS,PCS,3924,0,0,TIBROS Aster Prime Series- Dining Set (33 pcs)
PCS-TIBROSASTE-002,TIBROS Aster Series - Dining set (33 pcs),Crockery,TIBROS,BOX,3924,0,0,TIBROS Aster Series - Dining set (33 pcs)
PCS-TIBROSCERA,Tibros Ceramic Refresh MUG Set of 6 pcs,Crockery,TIBROS,BOX,6911,0,0,Tibros Ceramic Refresh MUG Set of 6 pcs
TREE-TIBROSCERM,TIBROS- Cermic MUG TREE COLOR TREE,Crockery,TIBROS,BOX,6911,0,0,TIBROS- Cermic MUG TREE COLOR TREE
PCS-TIBROSETHI,TIBROS Ethinc Series - Dining Set (33 pcs),Crockery,TIBROS,BOX,3924,0,0,TIBROS Ethinc Series - Dining Set (33 pcs)
315235-TIBROSETHN,TIBROS Ethnic Series- Canvas Tray (M) 31.5*23.5,Crockery,TIBROS,PCS,3924,0,0,TIBROS Ethnic Series- Canvas Tray (M) 31.5*23.5
2518-TIBROSETHN,TIBROS Ethnic Series- Canvas Tray (S) 25*18,Crockery,TIBROS,PCS,3924,0,0,TIBROS Ethnic Series- Canvas Tray (S) 25*18
315235-TIBROSFUNK,TIBROS Funky series-Canvas (M) 31.5*23.5,Crockery,TIBROS,PCS,3924,0,0,TIBROS Funky series-Canvas (M) 31.5*23.5
